Short name	Long name	Field type	Indexing and search	XPath
type	Type	g	f	/TEI/teiHeader/fileDesc/notesStmt/note[@type='oralEcrit']/text()
nomCorpus	Corpus	g	f	/TEI/teiHeader/encodingDesc/projectDesc/p/text()
langue	Langue	g	f	/TEI/teiHeader/profileDesc/langUsage/language/text()
nomFichier	Nom du fichier	g	i	/TEI/teiHeader/fileDesc/titleStmt/title/text()
responsables	Responsable(s)	gm	i	/TEI/teiHeader/fileDesc/titleStmt/respStmt/name[preceding::resp[1] = 'Responsables du corpus']/text()
resume	Résumé	g	s	/TEI/teiHeader/profileDesc/abstract/p/text()
dateEnregistrement	Date de l'enregistrement	g	i	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording/date/text()
dureeEnregistrement	Durée de l'enregistrement	g	i	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording/@dur
natureSignal	Nature du signal	g	f	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording/@type
qualiteSon	Qualité du son	g	i	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording[@type='audio']/@ana[1]
qualiteVideo	Qualité de la vidéo	g	i	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording[@type='video']/@ana[1]
formatSignal	Format du signal	g	i	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording[@type='audio']/@ana[2]
formatVideo	Format de la vidéo	g	i	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording[@type='video']/@ana[2]
anonymisationSignal	Anonymisation du signal	g	i	/TEI/teiHeader/fileDesc/sourceDesc/recordingStmt/recording/@ana[3]
localisationEnregistrement	Localisation de l'enregistrement	g	i	/TEI/teiHeader/profileDesc/settingDesc/place/placeName/text()
nombreLocuteurs	Nombre de locuteurs	g	f	count(/TEI/teiHeader/profileDesc/particDesc/listPerson/person)
conditionsUtilisation	Conditions d'utilisation	g	i	/teiHeader/fileDesc/publicationStmt/text()
niveauxAnnotation	Niveaux d'annotation	gm	i	/TEI/teiHeader/encodingDesc/editorialDecl/interpretation/p/text()
formatTranscription	Format de la transcription	gm	i	concat(/TEI/teiHeader/fileDesc/notesStmt/relatedItem/ptr/@target,' (type ',/TEI/teiHeader/fileDesc/notesStmt/relatedItem/ptr/@type, ')')
anonymisationTranscription	Anonymisation de la transcription	g	i	/TEI/teiHeader/encodingDesc/editorialDecl/normalization/@ana
nombreMots	Nombre de mots	g	o	/TEI/teiHeader/fileDesc/extent/measure[@unit='words']
identifiant	Identiant du locuteur	s	i	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/@xml:id
age	Âge du locuteur	s	i	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/age/text()
sexe	Sexe du locuteur	s	i	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/sex/text()
statutLangueFrancaise	Compétence du locuteur en langue française	s	i	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/langKnowledge/langKnown[@tag='fr']/@level
profession	Profession du locuteur	s	i	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/occupation/text()
niveauEtudes	Niveau d'études du locuteur	s	i	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/education/text()
lieuNaissance	Lieu de naissance du locuteur	s	i	/TEI/teiHeader/profileDesc/particDesc/listPerson/person/birth/placeName/text()
